Model,vehicule,totalDistanceKm,nbTrips,territoire,heure_debut,heure_fin,carnetEntryIndex,moment,meteo_ensoleille,meteo_nuageux,meteo_pluvieux,meteo_venteux,meteo_neigeux,meteo_brouillard,meteo_autre,motif,avantage_aucun,avantage_agilite,avantage_confort,avantage_observation,avantage_fierté,avantage_reactions,avantage_bien_etre,avantage_autre,difficulte_aucune,difficulte_visibilite,difficulte_amenagement,difficulte_stationnement,difficulte_vehicule,difficulte_comportement,difficulte_autre,difficultes_details,point_noir_1,point_noir_2,bilan,commentaires,point_noir_1_lon,point_noir_1_lat,mode_domicile_travail,mode_domicile_etudes,mode_domicile_loisirs,edits
,WEEZ,,1,Commune des Mureaux,09:00,10:30,0,Jour,1,0,0,0,0,0,,Travail,0.0,0,0,1,0,1,0,,0.0,0,0,0,0,0,Manque de direction assistée,,,,Positif,"Manque peut-être d'un autoradio dans la voiture
Les matériaux sur la portière à l'intérieur sont peut-être un peu fragile",,,"voiture,velo","velo,ter","voiture,velo",{}
,BIRO,,1,CC Clunisois,18:00,19:30,1,Jour,0,1,0,0,0,0,,activité enfant / courses / domicile,0.0,1,0,1,0,1,0,,1.0,0,0,0,0,0,,,,,Très positif,pas d'autre commentaire,,,"velo,VAE",,"velo,VAE",{}
,Urbaner,,1,CC Grand Pic St Loup,10:00,10:40,2,Jour,1,0,0,0,0,0,,Loisirs,0.0,0,0,1,0,0,1,,0.0,0,1,0,0,0,Difficulté de reprise après arrêt en côte,,,,Positif,"Le véhicule ne paraît pas adapté pour les routes secondaires qui sont plus ou moins entretenues : trous, revêtement non régulier...",,,,,,{}
,BIRO,,1,Commune du Teil,09:10,09:40,3,Jour,1,0,0,0,0,0,,Travail,0.0,1,1,0,0,1,0,,1.0,0,0,0,0,0,,,,,Très positif,Pas de commentaire,,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,13:30,17:00,4,Jour,1,0,0,0,0,0,,reunion de travail,0.0,1,0,1,1,0,0,,1.0,0,0,0,0,0,,,,,Positif,premier grand trajet avec le Biro. Impression de vitesse mais véhicule pas trés confortable et craint les trous et les dos d'ane.,,,,,,{}
,Urbaner,,1,Commune du Teil,14:30,17:00,5,Jour,1,0,0,0,0,0,,Utilisé durant l'évènement de promotion du sport avec essai du vélo toute l'après-midi. 19 personnes l'ont essayé 5 minutes à chaque fois,0.0,0,1,0,0,1,0,,0.0,0,1,0,1,0,,,,,Positif,"Retours positifs des conducteur.rice.s avec quelques remarques : 

Assise du siège trop étroite; 
Coussin du siège qui s'enlève facilement; 
Premiers coups de pédale difficiles pour certain.e.s; 
Taille minimum pour le conduire; 
Système de vitesses/plateaux peu lisible sur la poignet; 
Montées sont vues comme potentiellement difficiles à franchir; 
Ecran du compteur petit; 
Quels sont les types d'usage et d'usager visés ? Un parent avec des enfants entre 5 et 11 ans; 
très bon rayon de braquage; 
Très sympa d'avoir ses enfants avec soi; 
Enfants à l'arrière très bien assis.e.s et content.e.s;",,,,,,{}
,Urbaner,,1,Commune du Teil,14:00,14:15,6,Jour,1,0,0,0,0,0,,Travail travail,0.0,0,0,0,0,1,0,,1.0,0,0,0,0,0,,,,,Très positif,C’était super.,,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,08:50,12:00,7,Jour,1,0,0,0,0,0,,Loisirs,0.0,1,0,0,1,0,0,,0.0,0,0,0,0,1,,,,,Négatif,"Au retour sur la patie sinueuse du trajet un SUV me colle à peine à 2 m en arrière puis me double. mais le second véhicule , un gros utilitaire genre traffic double en m^me temps. Mais une voiture arrive dans l'autre sens. c'est passé tout juste.  La lenteur du Biro me parait incompatible avec les petites routes avec un trafic assez important et les tarés de conducteurs fréquents dans le sud de la France. Vraiment une mauvaise expérience ce retour de STe Croix",,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,16:00,17:00,8,Jour,0,0,1,0,0,0,,Courses,0.0,1,0,0,0,0,0,,0.0,1,0,0,0,0,Autre,,,,Positif,"il pleut, essuie-glace bruyant mais assez fonctionnel",,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,17:00,18:00,9,Jour,1,0,0,0,0,0,,Courses,0.0,1,0,0,0,1,0,,1.0,0,0,0,0,0,,,,,Très positif,"parcours sur petite route du Hameau de la vieille et de chateau Laroque. gros interet du maraicher pour ce type de véhicule . 
Bonne maniabilité en ville , parking facile.",,,,,,{}
